Hour,Temperature,Load
9,70.56,997946
10,72.88,1037907
11,75.68,1091177
12,78.04,1168914
13,79.24,1252194
14,79.84,1297086
15,80.76,1320035
16,80.4,1360587
17,79.28,1414022
18,77.72,1445331
19,73.72,1462109
20,71.92,1500480
21,71.52,1421847
22,71,1277244
23,70.72,1110719
24,70.88,937052
1,70.28,811478
2,69.8,750238
3,69.6,718476
4,69.28,704815
5,68.88,716263
6,68.68,807035
7,69.36,989197
8,71.12,1036323
9,74.2,1061125
10,77.2,1129496
11,79.28,1243184
12,81.48,1361470
13,82.64,1463105
14,83.44,1527472
15,83.52,1560926
16,83.28,1539618
17,82.24,1553526
18,80.48,1560728
19,78,1547658
20,75.96,1567717
21,74.52,1538092
22,73.8,1445622
23,73,1235565
24,73.2,1043816
1,72.88,900962
2,72.84,830568
3,72.92,796171
4,73.08,782183
5,73.36,802660
6,73.44,901513
7,73.68,1096768
8,75,1153185
9,77.36,1195692
10,80,1293740
11,82.36,1415987
12,84.04,1518729
13,85,1593605
14,85.44,1653519
15,85.88,1679222
16,85,1704665
17,83.56,1631510
18,82.08,1607471
19,79.56,1597887
20,77.88,1646385
21,76.84,1651382
22,75.6,1485584
23,74.92,1297579
24,74.72,1109833
1,73.68,974754
2,73,899345
3,72.72,852851
4,72.12,825179
5,71.16,828073
6,71.2,903318
7,70.2,1068913
8,70.96,1117852
9,73.2,1156452
10,75.52,1203062
11,76.96,1251114
12,77.92,1296859
13,79,1333740
14,79.76,1364973
15,80.6,1420948
16,80.96,1479903
17,80.84,1525444
18,79.4,1504780
19,75.56,1447476
20,72.68,1443407
21,70.96,1331004
22,69.32,1201004
23,68.2,1058622
24,67.56,909903
1,65.88,786975
2,65,713976
3,63.96,676734
4,63.8,663110
5,63.16,667106
6,62.16,703206
7,61.48,769348
8,64.04,874168
9,67.32,987883
10,70.24,1059150
11,73.28,1120351
12,75.64,1182617
13,77.96,1264839
14,79.76,1346373
15,80.56,1411061
16,80.68,1453898
17,79.6,1460964
18,77.4,1413417
19,73.4,1335715
20,69.92,1343848
21,68.08,1232418
22,66.32,1108301
23,64.92,978048
24,64.36,850603
1,63.08,741281
2,62.72,678333
3,62.28,648594
4,61.92,635502
5,61.8,635668
6,61.8,657292
7,61.76,719357
8,62.16,810519
9,62.88,944883
10,64,1036250
11,65.08,1057234
12,65.88,1059969
13,66.76,1067767
14,67.76,1063783
15,68.92,1050009
16,69.24,1052682
17,69.28,1074449
18,68.6,1101660
19,66.64,1137526
20,65.2,1215832
21,63.84,1162758
22,62.92,1052050
23,62.44,916324
24,61.88,780922
1,60.72,691753
2,59.8,640329
3,58.84,620832
4,57.84,619840
5,57.2,650228
6,56.16,762337
7,55.88,954944
8,59.6,1003921
9,64.6,988623
10,68.8,986219
11,71.68,999662
12,73.32,1013533
13,74.36,1041456
14,75.36,1074901
15,75.72,1112155
16,75.36,1159279
17,74.96,1197320
18,73.16,1221054
19,68.28,1233768
20,64.44,1305566
21,61.84,1223387
22,59.92,1096907
23,58.32,939525
24,57.32,801006
1,55.4,700265
2,54.24,659583
3,53.44,648802
4,52.68,658057
5,52.8,697172
6,52.76,827029
7,52.88,1048040
8,58.68,1086942
9,65.68,1022779
10,71,982467
11,73.56,979148
12,75.32,995761
13,76.4,1036020
14,77.6,1087534
15,77.52,1143923
16,77.56,1192398
17,76.28,1228380
18,74.56,1242669
19,70.96,1262399
20,67.72,1337393
21,65.88,1251963
22,63.76,1126563
23,62.84,970103
24,62.64,812130
1,61.48,708828
2,61.04,662060
3,60.72,642948
4,60.2,642651
5,60.08,668295
6,59.6,773511
7,59.2,946764
8,63.2,986989
9,68.72,978711
10,72.52,1004248
11,74.84,1047655
12,76.28,1098875
13,77.36,1148809
14,78.04,1186180
15,78.6,1223169
16,78.4,1272042
17,77.72,1312822
18,75.52,1329162
19,73,1348819
20,71.12,1406451
21,69.88,1323159
22,68.64,1198702
23,67.88,1042839
24,67.24,881267
1,67.48,765432
2,67.24,707375
3,66.96,677880
4,66.68,668444
5,66.6,683243
6,65.92,774466
7,65.68,936827
8,67.68,988103
9,70.48,1011247
10,72.72,1061187
11,74.28,1129208
12,74.76,1187640
13,74.56,1214699
14,73.52,1193804
15,70.76,1128789
16,69.64,1090055
17,68.48,1110444
18,67.92,1147821
19,66.6,1176846
20,66,1233980
21,66.12,1185751
22,65.48,1086648
23,64.88,948293
24,64.76,808562
1,63.96,708865
2,63.28,663621
3,63.2,640519
4,62.88,636564
5,63,658834
6,63.16,757122
7,63.04,925061
8,64.72,969274
9,66.48,976918
10,69.24,995588
11,71.8,1021845
12,73.76,1047534
13,75.56,1089804
14,76.88,1150794
15,77.84,1220266
16,78.52,1288117
17,77.76,1341808
18,76.48,1351725
19,73,1311217
20,70.16,1336117
21,68.64,1248958
22,67.44,1140551
23,65.96,1015430
24,65.36,880200
1,63.52,762337
2,63.2,698011
3,62.52,660793
4,61.96,645200
5,61.36,647582
6,60.88,682323
7,61.44,751344
8,63.76,856945
9,67.76,979478
10,72.68,1070948
11,76.08,1155571
12,78.12,1246347
13,80.16,1335356
14,80.48,1407790
15,80.72,1451404
16,80,1469542
17,79.28,1464077
18,77,1422505
19,73.12,1358161
20,70.52,1377469
21,69.08,1266388
22,67.64,1140697
23,66.96,1013052
24,66.44,882137
1,64.88,767473
2,64.12,694637
3,63.12,659172
4,62.72,644449
5,61.6,643750
6,61.2,667363
7,61,727195
8,60.88,829488
9,62.4,980162
10,62.52,1079720
11,62.48,1105140
12,60.68,1112549
13,60.88,1110657
14,61.44,1094037
15,61,1062396
16,61.2,1039023
17,61.24,1044226
18,60.52,1082328
19,58.2,1153895
20,56.16,1290427
21,54.92,1275098
22,54.12,1204594
23,52.92,1103864
24,52.68,987012
1,50.32,917709
2,48.96,904103
3,47.2,919465
4,45.52,959913
5,44.28,1046282
6,42.56,1253443
7,42.04,1574213
8,44.44,1620886
9,47.44,1518561
10,50.44,1412481
11,52.92,1301334
12,55.04,1204283
13,57.32,1125346
14,58.8,1059496
15,59.16,1011908
16,59.44,998258
17,59.04,1035767
18,57.12,1121786
19,53.68,1274761
20,49.56,1495968
21,47.24,1545087
22,45.52,1531562
23,44.08,1453564
24,43.44,1357992
1,42.44,1316705
2,41.6,1333501
3,40.96,1371868
4,40.56,1430886
5,39.88,1534042
6,39.64,1742956
7,40.48,1954015
8,48.44,1850918
9,55.92,1595902
10,59.88,1349930
11,62.08,1184074
12,63.44,1074226
13,65.32,1007382
14,66.08,964170
15,67.12,941639
16,67.12,949224
17,66.6,987892
18,65,1041107
19,61.24,1116200
20,57.6,1254244
21,55.72,1241729
22,53.88,1185097
23,52.84,1073992
24,51.2,972508
1,49.52,912990
2,48.44,910642
3,47.4,931781
4,46.96,975444
5,46.08,1051653
6,46.12,1241963
7,46.52,1512575
8,54.28,1469813
9,61.16,1262539
10,65.64,1099330
11,68.2,1017956
12,70.36,984438
13,71.6,980684
14,72.64,987092
15,72.88,1009342
16,72.92,1046602
17,72.72,1094593
18,71,1137308
19,66.52,1163254
20,62.4,1247801
21,60.12,1197627
22,57.92,1094022
23,56.96,957447
24,55.88,820851
1,54.92,736418
2,53.4,710162
3,52.28,711311
4,51.24,733548
5,50.72,791232
6,50.4,952925
7,50.92,1197550
8,58.4,1212224
9,64.92,1095733
10,69.08,1020107
11,71.52,995515
12,73.32,1001055
13,74.6,1027392
14,75.16,1057970
15,75.16,1091029
16,74.72,1121552
17,74.24,1149477
18,72.36,1174740
19,69.6,1204721
20,67,1289399
21,65,1230644
22,63.84,1117326
23,62.84,966186
24,62.56,822758
1,61.68,717993
2,60.36,669750
3,59.88,647149
4,59.2,650415
5,59,682171
6,58.2,787120
7,58.88,968017
8,63.48,1010542
9,69.52,1000084
10,73.48,1020130
11,75.84,1063931
12,77.48,1109251
13,78.68,1158580
14,79.2,1211635
15,79.52,1262456
16,79.44,1312161
17,78.8,1360044
18,77,1372593
19,73.84,1327068
20,70.8,1350493
21,68.8,1266753
22,66.96,1153849
23,65.64,1023248
24,65,886310
1,64.32,775928
2,62.88,707627
3,62.04,668145
4,61.36,654067
5,61.08,660460
6,61,693338
7,61.8,759304
8,66.2,874136
9,71.76,1001128
10,75.48,1095428
11,78.12,1182624
12,79.36,1268853
13,80.08,1346918
14,80.6,1404606
15,80.68,1448425
16,79.84,1465837
17,79.44,1470762
18,77.92,1447880
19,75.12,1389353
20,72.72,1405349
21,70.48,1307346
22,69.24,1175379
23,68.24,1041567
24,68.16,901724
1,67.76,786261
2,67.26,704066
3,66.76,621871
4,66.76,684078
5,66.6,668238
6,65.44,675219
7,64.84,710532
8,65.24,766139
9,69.44,886442
10,73.56,1029227
11,77.6,1160136
12,79.96,1294188
13,81.56,1436046
14,82.52,1539779
15,83.08,1595863
16,84.12,1639966
17,83.12,1682064
18,81.64,1705582
19,79.44,1662544
20,76.92,1593090
21,75.36,1624050
22,74.2,1513427
23,73.72,1318508
24,73.08,1106400
1,72.64,943131
2,72.48,847322
3,72.32,802793
4,72.04,779023
5,72.2,786949
6,72,867401
7,72,1041776
8,72.44,1103354
9,73.96,1107040
10,76.48,1167804
11,78.88,1266213
12,81.08,1375395
13,82.92,1483555
14,83.76,1591048
15,84.68,1671579
16,84.6,1752593
17,83.96,1826017
18,83.2,1875863
19,81.12,1857515
20,78.56,1782673
21,76.56,1775289
22,74.8,1623787
23,73.6,1395495
24,73.28,1166490
1,72.32,980382
2,71.36,884451
3,70.88,830115
4,70.36,799667
5,70.2,800141
6,69.68,874067
7,69.12,1045610
8,69.48,1092446
9,71.48,1079682
10,74.16,1118668
11,76.56,1180147
12,77.88,1276726
13,79,1358445
14,79.68,1420076
15,79.76,1457032
16,79.2,1490237
17,78.6,1519356
18,77.2,1544266
19,75.68,1527562
20,73.88,1498228
21,72.32,1505455
22,71.96,1393618
23,71.04,1209549
24,70.72,1022735
1,70.64,875011
2,69.12,794455
3,68.36,751061
4,67.92,730448
5,67.28,740561
6,67.08,821194
7,66.44,996426
8,66.68,1041038
9,67.76,1009937
10,69.72,1022231
11,71.2,1059281
12,72.76,1124431
13,74.16,1184655
14,75.2,1240682
15,75,1306861
16,75.16,1373055
17,74.48,1389449
18,72.12,1381796
19,70.56,1338609
20,68.12,1305643
21,65.92,1318772
22,64.44,1221092
23,62.68,1054005
24,61.32,873887
1,60.44,749403
2,58.56,691553
3,57.6,670234
4,56.52,665927
5,55.48,691951
6,54.52,807988
7,53.76,1027243
8,53.76,1098332
9,54.48,1077460
10,55.52,1081456
11,56.72,1085758
12,58.44,1075142
13,59.44,1061350
14,60.36,1034943
15,60.76,1018004
16,60.32,1036796
17,59.72,1103984
18,59.12,1192728
19,57.76,1261304
20,56.8,1318311
21,55.88,1393869
22,55.12,1328662
23,54.44,1192738
24,54,1035229
1,53.4,926728
2,52.4,887683
3,51.72,877645
4,51.4,884565
5,51.08,926808
6,50.56,1061043
7,50.36,1292891
8,50.96,1353037
9,53.12,1267020
10,56.52,1189110
11,59.4,1116580
12,61.28,1059397
13,63.24,1009089
14,64.8,970121
15,65.96,947439
16,66.56,947811
17,66.28,963085
18,65.56,994349
19,64.4,1011481
20,62.48,1035214
21,60.32,1106202
22,58.72,1079053
23,57.12,1007574
24,56.16,907336
1,55.44,816624
2,55.24,774356
3,54.28,763253
4,53.52,766536
5,53.4,792895
6,52.44,850156
7,51.76,958194
8,53.4,1083274
9,59.24,1151709
10,65.08,1117181
11,69.12,1073788
12,71.92,1043662
13,73.8,1034864
14,75.2,1046474
15,76.16,1072172
16,76.36,1111287
17,75.76,1157302
18,74.92,1179713
19,72.92,1160558
20,68.96,1117600
21,65.56,1150037
22,63.52,1083888
23,61.48,970320
24,60.2,851110
1,59.48,742308
2,57.92,682257
3,56.44,656733
4,54.84,651490
5,54.24,667451
6,52.92,710886
7,52.16,795492
8,53.68,921760
9,60.92,1038969
10,67.36,1059692
11,72.08,1036718
12,75.6,1039710
13,78.12,1085270
14,79.24,1146291
15,80.16,1207969
16,80.16,1277153
17,79.92,1347887
18,79.24,1394665
19,76.84,1377598
20,72.12,1326326
21,68.44,1361728
22,65.12,1260621
23,63.04,1063441
24,61.56,870824
1,60.04,731929
2,58.96,665688
3,57.36,636283
4,56.96,630920
5,56.48,657611
6,55.6,762960
7,54.56,958383
8,56.72,1020870
9,63.12,999577
10,70.08,1000098
11,74.76,1021652
12,78.12,1067765
13,80.12,1138246
14,80.92,1218775
15,81.36,1296451
16,81.84,1373912
17,80.88,1451032
18,79.92,1509807
19,77.84,1507451
20,73.92,1437868
21,70.68,1438860
22,68.76,1330011
23,67.32,1136149
24,65.28,937190
1,64.6,784982
2,63.28,713920
3,61.48,678104
4,61,667125
5,60.16,683075
6,59.44,774043
7,58.76,951458
8,60.8,997151
9,66.04,975280
10,71.44,994255
11,74.04,1026539
12,76.48,1076802
13,78.12,1150108
14,78.64,1217075
15,79.72,1282510
16,79.88,1344968
17,79.24,1401388
18,78.28,1440269
19,76,1426976
20,73,1365233
21,70.4,1384665
22,68.44,1296790
23,66.4,1106232
24,64.6,910885
1,64.12,769969
2,62.92,700624
3,61.96,669202
4,61.08,658533
5,60.84,677176
6,59.92,770469
7,59.68,954557
8,61.48,993203
9,66.24,969990
10,71.16,987106
11,74.16,1029573
12,76.52,1098739
13,78.08,1170197
14,79.08,1245162
15,80.04,1316517
16,79.72,1389447
17,79.24,1465775
18,77.8,1506639
19,75.92,1483279
20,72.96,1409732
21,70.28,1420729
22,68.96,1332881
23,67.84,1144286
24,66.64,950595
1,65.68,804241
2,64.24,727428
3,63.16,686958
4,62.32,669305
5,61.68,681667
6,61.12,767072
7,60.84,934295
8,62.28,977175
9,66.92,970739
10,72.36,1008315
11,74.84,1071883
12,77.48,1152529
13,79,1248144
14,80.16,1344575
15,80.76,1428609
16,80.52,1506106
17,80,1566453
18,79,1582483
19,77,1540114
20,74,1443950
21,71.6,1437746
22,69.96,1342458
23,68.44,1160662
24,67.48,961776
1,66.16,814178
2,65.24,732456
3,64.16,691323
4,63.56,676875
5,63.12,683615
6,62.28,746070
7,61.68,872126
8,62.92,932944
9,67.52,977511
10,72.36,1039528
11,75.08,1108458
12,78,1193028
13,79.32,1290819
14,80.12,1400081
15,81.16,1499359
16,81.76,1575734
17,81.16,1638156
18,80.52,1663651
19,78.2,1608866
20,74.64,1495961
21,72.68,1465216
22,71.12,1368395
23,69.92,1216086
24,68.76,1041157
1,67.4,885541
2,66.08,788479
3,64.92,731832
4,63.96,699062
5,63.48,686633
6,63.28,706636
7,63.76,758931
8,65.16,841159
9,68.4,986747
10,72.72,1119064
11,76.08,1219256
12,78.4,1323025
13,79.76,1414287
14,81.04,1489489
15,81.32,1549300
16,81.6,1605415
17,81.2,1639642
18,79.56,1653080
19,77.6,1602059
20,75.52,1503272
21,73.68,1502494
22,71.76,1416228
23,70.72,1263742
24,69.56,1088243
1,68.76,920734
2,68.08,810410
3,67.04,741675
4,66.36,705072
5,65.88,692436
6,65.12,707207
7,64.72,753449
8,66.04,837146
9,69.8,1004554
10,73.36,1155068
11,76,1252552
12,78.08,1352651
13,79.76,1467074
14,81.16,1558099
15,81.2,1617391
16,81.16,1660994
17,80.6,1677622
18,79.92,1665288
19,78.24,1600890
20,74.88,1511305
21,72.2,1515658
22,70.96,1417658
23,70,1214362
24,68.6,1005753
1,67.48,848206
2,65.88,760271
3,64.64,710322
4,64.16,685714
5,63.72,693314
6,63.36,768208
7,62.84,920985
8,64.24,970607
9,67.96,1001759
10,72.24,1078991
11,74.96,1173516
12,77.52,1288083
13,78.88,1408782
14,79.8,1497835
15,80.44,1536438
16,80.12,1559913
17,79.64,1574660
18,78.4,1573164
19,76.48,1552408
20,74.24,1515194
21,72.84,1522301
22,71.96,1412262
23,70.68,1221424
24,69.84,1024991
1,69.08,867795
2,68.68,779644
3,67.32,736075
4,66.88,716444
5,66.44,725792
6,65.96,807435
7,65.44,973219
8,66.96,1015303
9,69.64,1018972
10,73.16,1068900
11,76.28,1150384
12,78.16,1246217
13,80.12,1350965
14,81.52,1439388
15,82.52,1510684
16,83.12,1589140
17,82.68,1649782
18,81.52,1680788
19,79.6,1639251
20,75.72,1532515
21,71.88,1496059
22,69.6,1383783
23,66.72,1165305
24,65.56,950498
1,65.12,799100
2,63.2,717985
3,61.72,680708
4,60.52,665792
5,59.44,680246
6,58.04,771326
7,57.16,949411
8,59.44,991515
9,63.28,971839
10,67.24,977417
11,69.96,996470
12,72.2,1022452
13,74.24,1067961
14,75.96,1131649
15,77.32,1213531
16,78,1301821
17,78.24,1392967
18,76.84,1454663
19,75.12,1449033
20,71.2,1365901
21,67.4,1361548
22,64.88,1267732
23,63.24,1076802
24,61.36,887670
1,61.16,751910
2,59.64,689385
3,58.48,661727
4,56.96,652335
5,57.04,675716
6,56.96,773294
7,56.72,956945
8,59.12,998428
9,65.24,969638
10,70.32,972943
11,73.24,1004671
12,75.72,1047143
13,77.32,1107343
14,78.52,1183342
15,79.28,1284051
16,79.64,1399101
17,79,1484199
18,77.96,1513325
19,76.28,1485483
20,73.84,1441504
21,71.88,1447584
22,71.24,1358494
23,71.12,1178028
24,70.24,993871
1,69.56,852773
2,69.76,776874
3,69.12,738527
4,68.96,726133
5,68.92,738579
6,68.96,818711
7,69.12,993109
8,69.48,1038425
9,71.64,1036884
10,74.08,1084100
11,76.72,1162904
12,78.12,1246549
13,78.88,1326695
14,78.72,1378693
15,77.76,1402791
16,76.08,1364848
17,72.72,1317957
18,71.64,1268534
19,70.84,1209307
20,69.24,1173992
21,68.6,1166478
22,67.84,1106697
23,67.6,1006376
24,67.44,884565
1,67.56,773172
2,67.28,709509
3,66.12,672254
4,65.76,655189
5,65.56,657491
6,65.32,683004
7,65.12,743063
8,65.28,824557
9,66.72,935435
10,69,1035967
11,71.64,1097188
12,73.76,1160644
13,76.08,1229900
14,77.8,1303197
15,79.24,1381340
16,79.8,1459706
17,80.32,1509573
18,78.92,1511221
19,77.4,1457466
20,74.76,1358877
21,71.8,1340025
22,69.76,1261948
23,67.96,1114248
24,66.88,956850
1,66.2,811374
2,64.56,720958
3,63.6,668634
4,62.04,641671
5,61.24,634904
6,59.8,648701
7,59.16,691981
8,61.88,769938
9,66.12,905133
10,70.84,1017810
11,74,1086827
12,76,1163879
13,77.88,1266011
14,79.24,1376309
15,80.16,1467145
16,80.28,1539611
17,80.44,1604217
18,79.68,1629875
19,78.04,1588414
20,75,1496714
21,71.68,1473046
22,69.92,1367592
23,68.48,1152251
24,67.12,950434
1,66.48,791145
2,65.48,709630
3,64.44,667050
4,64.28,650940
5,64.08,667169
6,63.96,756851
7,63.52,932177
8,65.48,973841
9,68.64,979511
10,73.4,1038536
11,76.96,1139707
12,79.56,1251023
13,80.48,1355630
14,81.72,1449246
15,82.08,1532231
16,82.2,1610290
17,81.68,1685163
18,80.64,1715845
19,79.08,1687752
20,76.4,1612005
21,73.52,1601725
22,72.36,1492175
23,71.16,1273599
24,70.08,1051478
1,69,890566
2,67.92,805105
3,67.4,756922
4,66.72,734727
5,66.72,743946
6,66.4,824421
7,65.96,998926
8,67.32,1028851
9,70.68,1038864
10,74.92,1114578
11,77.88,1230937
12,79.92,1347713
13,81.24,1459838
14,82.2,1552667
15,82.48,1632647
16,82.24,1693314
17,81.52,1741922
18,80.76,1773091
19,78.8,1731334
20,76.12,1638293
21,73.56,1599932
22,72,1489944
23,71.04,1268599
24,70.64,1048866
1,69.64,896175
2,69.52,812084
3,68.96,764688
4,68.48,741346
5,68.76,750520
6,68.52,837609
7,68.4,1022351
8,69.64,1063987
9,71.72,1050268
10,75.28,1097188
11,77.52,1178898
12,79.52,1292745
13,80.72,1427765
14,81.28,1533970
15,81.76,1600239
16,80.76,1609328
17,80.12,1620230
18,78.28,1628231
19,76.72,1587351
20,74.68,1521112
21,73.32,1508505
22,72.44,1414378
23,71.8,1221208
24,71.36,1027004
1,71,879277
2,70.48,799176
3,70.24,756142
4,69.72,737598
5,69.24,744415
6,68.68,831006
7,68.76,1005503
8,69.76,1048645
9,70.64,1032919
10,73.04,1061385
11,74.56,1102785
12,76.28,1158997
13,78.04,1233884
14,79.16,1325938
15,79.88,1425152
16,80.84,1535932
17,80.68,1633193
18,79.32,1693659
19,77.92,1676597
20,75.84,1594105
21,73.48,1563908
22,71.8,1469771
23,70.4,1262752
24,69.64,1049489
1,69.84,886884
2,69.04,794951
3,68.56,747843
4,68.2,721820
5,67.56,723749
6,67.24,800528
7,66.8,971473
8,68.16,1013528
9,71.04,1030223
10,74.6,1098235
11,77.56,1205893
12,80.08,1338851
13,81.64,1480637
14,82.84,1608187
15,83.56,1721224
16,83.6,1821206
17,84.2,1887001
18,83.48,1907779
19,81.64,1848962
20,79.12,1706949
21,76.92,1632388
22,75.2,1518081
23,73.56,1349026
24,72.56,1162501
1,72.2,998440
2,70.72,894745
3,69.36,820496
4,68.36,770591
5,67.72,755364
6,66.44,766893
7,65.44,802758
8,67.4,874132
9,70.6,1012296
10,74.72,1154504
11,78.2,1289204
12,80.72,1422418
13,82.52,1551938
14,83.8,1661284
15,84.36,1741062
16,83.96,1786468
17,83.04,1800261
18,82.52,1788031
19,81.12,1728127
20,78.56,1614076
21,75.44,1545078
22,73.48,1437335
23,71.88,1259445
24,70.24,1080100
1,69.96,920613
2,68.64,818136
3,67.56,751773
4,67.36,717524
5,67.16,703361
6,67.08,712223
7,66.48,750443
8,68.56,825403
9,71.6,980046
10,75.2,1136458
11,78.64,1276920
12,81.2,1425713
13,82.6,1593769
14,84.52,1751035
15,85.52,1877439
16,85.56,1972215
17,85.64,1965985
18,84.4,1973741
19,82.44,1913633
20,79.6,1781779
21,77.08,1772958
22,75.48,1641306
23,73.92,1388173
24,72.72,1144839
1,71.76,957707
2,71.4,857548
3,70.96,805249
4,70.68,777468
5,70.68,778663
6,69.92,851215
7,69.32,1016081
8,71.28,1051810
9,75.08,1098638
10,79.44,1221424
11,82.28,1387624
12,84.92,1568468
13,86.56,1731814
14,87.72,1858902
15,88.6,1964276
16,88.48,1984074
17,88.12,2048213
18,86.8,2081477
19,85.4,2124320
20,82.52,2022074
21,80.52,1946097
22,78.6,1792012
23,77.24,1539484
24,76.4,1293338
1,76,1112786
2,75.28,1009028
3,74.48,949864
4,73.92,909201
5,73.76,902564
6,73.48,973111
7,73.16,1141263
8,74.12,1175109
9,76.88,1208964
10,80.08,1313131
11,82.68,1467190
12,84.96,1636878
13,86.36,1795955
14,87.6,1919680
15,87.96,2023450
16,88.52,2107669
17,88.12,2116566
18,87.2,2145341
19,85.32,2092914
20,82.32,2032718
21,80.4,1962798
22,78.48,1815243
23,76.84,1550748
24,76.16,1294438
1,75.72,1105388
2,74.56,1002573
3,74.04,939131
4,73.52,899223
5,73.12,895013
6,72.16,964571
7,71.92,1131027
8,73.8,1168038
9,77.48,1217621
10,80.88,1349363
11,83.4,1513296
12,85.52,1670016
13,86.84,1818749
14,87.8,1952982
15,88.32,2052995
16,88.6,2067600
17,88.04,2106092
18,87.28,2123657
19,85.64,2127394
20,82.56,2052250
21,80.12,1985125
22,78.56,1842505
23,76.8,1584086
24,75.44,1317208
1,75.24,1124005
2,74.2,1017065
3,73.24,950646
4,72.76,907376
5,72.4,901173
6,71.48,964638
7,71.2,1124174
8,72.88,1159969
9,75.84,1188183
10,79.76,1309651
11,82.4,1474657
12,84.64,1635087
13,86.04,1786238
14,87.48,1924059
15,88.2,2036686
16,88.32,2122888
17,88.2,2130800
18,87.12,2152277
19,85.84,2175790
20,83.16,2064195
21,80.68,1985330
22,79,1843831
23,77.24,1589184
24,76,1330643
1,75.6,1138504
2,74.2,1022438
3,73.36,949117
4,72.48,897949
5,72,885104
6,71.48,953876
7,70.92,1113243
8,73.24,1156548
9,77.32,1216830
10,81.32,1362884
11,84.24,1550686
12,86.44,1744603
13,87.6,1906021
14,88.24,2030028
15,89.44,2130518
16,89.52,2196381
17,88.92,2165682
18,88.2,2126401
19,86.28,2062585
20,83.48,2047980
21,80.92,1944169
22,79.48,1806592
23,77.52,1596531
24,76.48,1373991
1,75.6,1177152
2,74.76,1046369
3,73.36,964366
4,72.84,914012
5,72.4,887831
6,71.84,897917
7,71.36,940877
8,73.48,1034436
9,77.6,1227387
10,81.64,1447419
11,84.64,1656390
12,86.68,1847804
13,87.88,2002507
14,88.84,2121020
15,89.36,2200682
16,89.32,2191575
17,89,2204627
18,88.08,2198814
19,86.4,2174011
20,83.48,2036366
21,81.16,1936899
22,79.4,1802211
23,77.64,1595883
24,76.52,1384789
1,76.4,1192483
2,74.92,1064244
3,73.92,978723
4,73.52,926784
5,72.76,899672
6,72.48,899684
7,72.24,928270
8,74.08,1025065
9,77.76,1245873
10,81.72,1482547
11,84.52,1669036
12,86.84,1834485
13,88.48,1981266
14,89.32,2089397
15,89.6,2157071
16,89.68,2206304
17,89.44,2236511
18,88.6,2228999
19,86.64,2154178
20,83.68,2033942
21,80.96,1952848
22,79.12,1819585
23,76.96,1591225
24,75.76,1341535
1,75.28,1149909
2,74.28,1037130
3,73.68,966043
4,73.48,924804
5,73.08,919533
6,72.88,991914
7,72.8,1151415
8,74.36,1204057
9,77.2,1273688
10,79.96,1390491
11,82.08,1539512
12,84.12,1681488
13,86.36,1814856
14,87.72,1944750
15,88.76,2041451
16,88.44,2112042
17,87.76,2107785
18,86.76,2109786
19,85.32,2130192
20,82.44,2030659
21,79.64,1955695
22,77.6,1811968
23,75.6,1548561
24,74.2,1298873
1,73.44,1103235
2,71.64,987505
3,70.04,913592
4,68.8,864802
5,68.08,854827
6,67.4,917600
7,66.84,1063478
8,68.6,1079927
9,72.08,1087245
10,75.48,1146584
11,78.4,1235016
12,80.24,1350393
13,82.28,1482470
14,83.92,1622568
15,85.64,1760800
16,86.28,1889813
17,86.64,1995174
18,86.16,2052063
19,84.08,2017936
20,79.48,1873110
21,75.12,1748946
22,72.64,1601901
23,70.16,1339989
24,68.88,1096147
1,68.44,924624
2,66.2,827225
3,65.88,777284
4,65.72,751981
5,65.96,763390
6,65.56,843371
7,65.72,1004796
8,67.72,1038031
9,71.92,1044041
10,77.2,1120830
11,80.8,1264433
12,83.68,1435109
13,85.04,1611961
14,86.44,1770880
15,86.52,1881806
16,85.96,1994204
17,85.68,2059944
18,84.92,2082639
19,82.8,2024856
20,79.6,1886718
21,76.92,1791385
22,74.84,1646128
23,73.4,1422141
24,71.84,1179814
1,71.04,1005241
2,70.76,903999
3,69.84,846614
4,68.56,810568
5,68.36,808787
6,67.88,880868
7,67.44,1041019
8,70.04,1081659
9,73.88,1094419
10,78,1177002
11,81.12,1322514
12,83.28,1487614
13,84.92,1644950
14,86.04,1775859
15,86.72,1866442
16,86.4,1919950
17,85.96,1945209
18,84.6,1943220
19,82.6,1889023
20,80.96,1804496
21,78.76,1756072
22,76.88,1644011
23,74.68,1417470
24,73.4,1192642
1,72.96,1015877
2,72.32,912878
3,71.08,850665
4,70.52,816170
5,70.36,818247
6,69.96,887372
7,70.08,1045537
8,72.12,1091976
9,75.8,1130123
10,79.96,1249890
11,82.72,1430879
12,85.2,1606369
13,86.44,1766736
14,88,1906031
15,88.68,2021064
16,88.24,2103126
17,88.56,2167565
18,87.72,2185720
19,85.68,2126934
20,82.8,1982767
21,80.36,1877157
22,78.56,1747744
23,76.6,1545128
24,75.28,1331389
1,74.76,1152115
2,74.08,1029013
3,72.84,951354
4,72.56,899818
5,71.76,871043
6,70.68,870909
7,70.16,906013
8,73.96,990041
9,77.6,1177085
10,81.92,1396227
11,84.72,1608508
12,86.76,1814692
13,88.12,1986619
14,89.48,2110510
15,89.48,2196903
16,88.68,2246114
17,88.24,2264103
18,86.6,2244002
19,83.88,2147476
20,81.24,2011512
21,79.12,1907425
22,77.84,1784674
23,76.32,1588586
24,75.88,1383892
1,75.44,1201963
2,74.92,1078959
